name,company_number,domain,website,location_text,incorporated_on,one_liner,headcount_estimate,headcount_source,ats_provider,ats_status
Isometric,13829439,isometric.com,https://isometric.com,"Isometric Hq Ltd, 27 New Dover Road, Canterbury, Kent, CT1 3DN",2022-01-05,Isometric | Agentic certification for the industrial economy,unknown,not estimated; check the team page,ashby,verified
Houdini Bio,16352550,houdinibio.com,https://www.houdinibio.com,"Victoria House, Southampton Row, London, Greater London, WC1B 4DA",2025-03-31,HoudiniBio,unknown,not estimated; check the team page,,none
Conduct,15396489,conduct.ai,https://conduct.ai,"42 Berners Street, Floor 6, London, W1T 3ND",2024-01-08,"Conduct lets IT teams understand, modernise, and run their enterprise systems with AI - fast and with confidence. Starting with SAP. Extending to the entire enterprise stack.",unknown,not estimated; check the team page,ashby,verified
Record OS,16058953,record-os.com,https://www.record-os.com,"128 City Road, London, EC1V 2NX",2024-11-04,"UK Self Assessment from £125. Prepared with our technology, reviewed by a senior ex-HMRC and ex-BDO accountant. 5-day turnaround.",unknown,not estimated; check the team page,,none
Capsa AI,15323501,capsa.ai,https://capsa.ai,"International House, 101 King's Cross Road, London, WC1X 9LP",2023-12-02,Providing next-generation investors with a competitive edge.,unknown,not estimated; check the team page,ashby,verified
